__run_id,__done,round,configuration,position_goal,number_obstacles
run_156,DONE,3,18,2,0
run_157,DONE,3,18,2,2
run_158,DONE,3,19,2,0
run_159,DONE,3,19,2,2
run_160,DONE,4,0,2,0
run_161,DONE,4,0,2,2
run_162,DONE,4,1,2,0
run_163,DONE,4,1,2,2
run_164,DONE,4,2,2,0
run_165,DONE,4,2,2,2
run_166,DONE,4,3,2,0
run_167,DONE,4,3,2,2
run_168,DONE,4,4,2,0
run_169,DONE,4,4,2,2
run_170,DONE,4,5,2,0
run_171,DONE,4,5,2,2
run_172,DONE,4,6,2,0
run_173,DONE,4,6,2,2
run_174,DONE,4,7,2,0
run_175,DONE,4,7,2,2
run_176,DONE,4,8,2,0
run_177,DONE,4,8,2,2
run_178,DONE,4,9,2,0
run_179,DONE,4,9,2,2
run_180,DONE,4,10,2,0
run_181,DONE,4,10,2,2
run_182,DONE,4,11,2,0
run_183,DONE,4,11,2,2
run_184,DONE,4,12,2,0
run_185,DONE,4,12,2,2
run_186,DONE,4,13,2,0
run_187,DONE,4,13,2,2
run_188,DONE,4,14,2,0
run_189,DONE,4,14,2,2
run_190,DONE,4,15,2,0
run_191,DONE,4,15,2,2
run_192,DONE,4,16,2,0
run_193,DONE,4,16,2,2
run_194,DONE,4,17,2,0
run_195,DONE,4,17,2,2
run_196,DONE,4,18,2,0
run_197,DONE,4,18,2,2
run_198,DONE,4,19,2,0
run_199,DONE,4,19,2,2
run_200,DONE,5,0,2,0
run_201,DONE,5,0,2,2
run_202,DONE,5,1,2,0
run_203,DONE,5,1,2,2
run_204,DONE,5,2,2,0
run_205,DONE,5,2,2,2
run_206,DONE,5,3,2,0
run_207,DONE,5,3,2,2
run_208,DONE,5,4,2,0
run_209,DONE,5,4,2,2
run_210,DONE,5,5,2,0
run_211,DONE,5,5,2,2
run_212,DONE,5,6,2,0
run_213,DONE,5,6,2,2
run_214,DONE,5,7,2,0
run_215,DONE,5,7,2,2
run_216,DONE,5,8,2,0
run_217,DONE,5,8,2,2
run_218,DONE,5,9,2,0
run_219,DONE,5,9,2,2
run_220,DONE,5,10,2,0
run_221,DONE,5,10,2,2
run_222,DONE,5,11,2,0
run_223,DONE,5,11,2,2
run_224,DONE,5,12,2,0
run_225,DONE,5,12,2,2
run_226,DONE,5,13,2,0
run_227,DONE,5,13,2,2
run_228,DONE,5,14,2,0
run_229,DONE,5,14,2,2
run_230,DONE,5,15,2,0
run_231,DONE,5,15,2,2
run_232,DONE,5,16,2,0
run_233,DONE,5,16,2,2
run_234,DONE,5,17,2,0
run_235,DONE,5,17,2,2
run_236,DONE,5,18,2,0
run_237,DONE,5,18,2,2
run_238,DONE,5,19,2,0
run_239,DONE,5,19,2,2
run_240,DONE,6,0,2,0
run_241,DONE,6,0,2,2
run_242,DONE,6,1,2,0
run_243,DONE,6,1,2,2
run_244,DONE,6,2,2,0
run_245,DONE,6,2,2,2
run_246,DONE,6,3,2,0
run_247,DONE,6,3,2,2
run_248,DONE,6,4,2,0
run_249,DONE,6,4,2,2
run_250,DONE,6,5,2,0
run_251,DONE,6,5,2,2
run_252,DONE,6,6,2,0
run_253,DONE,6,6,2,2
run_254,DONE,6,7,2,0
run_255,DONE,6,7,2,2
run_256,DONE,6,8,2,0
run_257,DONE,6,8,2,2
run_258,DONE,6,9,2,0
run_259,DONE,6,9,2,2
run_260,DONE,6,10,2,0
run_261,DONE,6,10,2,2
run_262,DONE,6,11,2,0
run_263,DONE,6,11,2,2
run_264,DONE,6,12,2,0
run_265,DONE,6,12,2,2
run_266,DONE,6,13,2,0
run_267,DONE,6,13,2,2
run_268,DONE,6,14,2,0
run_269,DONE,6,14,2,2
run_270,DONE,6,15,2,0
run_271,DONE,6,15,2,2
run_272,DONE,6,16,2,0
run_273,DONE,6,16,2,2
run_274,DONE,6,17,2,0
run_275,DONE,6,17,2,2
run_276,DONE,6,18,2,0
run_277,DONE,6,18,2,2
run_278,DONE,6,19,2,0
run_279,DONE,6,19,2,2
run_280,DONE,7,0,2,0
run_281,DONE,7,0,2,2
run_282,DONE,7,1,2,0
run_283,DONE,7,1,2,2
run_284,DONE,7,2,2,0
run_285,DONE,7,2,2,2
run_286,DONE,7,3,2,0
run_287,DONE,7,3,2,2
run_288,DONE,7,4,2,0
run_289,DONE,7,4,2,2
run_290,DONE,7,5,2,0
run_291,DONE,7,5,2,2
run_292,DONE,7,6,2,0
run_293,DONE,7,6,2,2
run_294,DONE,7,7,2,0
run_295,DONE,7,7,2,2
run_296,DONE,7,8,2,0
run_297,DONE,7,8,2,2
run_298,DONE,7,9,2,0
run_299,DONE,7,9,2,2
run_300,DONE,7,10,2,0
run_301,DONE,7,10,2,2
run_302,DONE,7,11,2,0
run_303,DONE,7,11,2,2
run_304,DONE,7,12,2,0
run_305,DONE,7,12,2,2
run_306,DONE,7,13,2,0
run_307,DONE,7,13,2,2
run_308,DONE,7,14,2,0
run_309,DONE,7,14,2,2
run_310,DONE,7,15,2,0
run_311,DONE,7,15,2,2
run_312,DONE,7,16,2,0
run_313,DONE,7,16,2,2
run_314,DONE,7,17,2,0
run_315,DONE,7,17,2,2
run_316,DONE,7,18,2,0
run_317,DONE,7,18,2,2
run_318,DONE,7,19,2,0
run_319,DONE,7,19,2,2
run_320,DONE,8,0,2,0
run_321,DONE,8,0,2,2
run_322,DONE,8,1,2,0
run_323,DONE,8,1,2,2
run_324,DONE,8,2,2,0
run_325,DONE,8,2,2,2
run_326,DONE,8,3,2,0
run_327,DONE,8,3,2,2
run_328,DONE,8,4,2,0
run_329,DONE,8,4,2,2
run_330,DONE,8,5,2,0
run_331,DONE,8,5,2,2
run_332,DONE,8,6,2,0
run_333,DONE,8,6,2,2
run_334,DONE,8,7,2,0
run_335,DONE,8,7,2,2
run_336,DONE,8,8,2,0
run_337,DONE,8,8,2,2
run_338,DONE,8,9,2,0
run_339,DONE,8,9,2,2
run_340,DONE,8,10,2,0
run_341,DONE,8,10,2,2
run_342,DONE,8,11,2,0
run_343,DONE,8,11,2,2
run_344,DONE,8,12,2,0
run_345,DONE,8,12,2,2
run_346,DONE,8,13,2,0
run_347,DONE,8,13,2,2
run_348,DONE,8,14,2,0
run_349,DONE,8,14,2,2
run_350,DONE,8,15,2,0
run_351,DONE,8,15,2,2
run_352,DONE,8,16,2,0
run_353,DONE,8,16,2,2
run_354,DONE,8,17,2,0
run_355,DONE,8,17,2,2
run_356,DONE,8,18,2,0
run_357,DONE,8,18,2,2
run_358,DONE,8,19,2,0
run_359,DONE,8,19,2,2
run_360,DONE,9,0,2,0
